Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,NumCompaniesWorked,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_catagorical
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,19479,Y,Yes,11,1,1,5993.0,8.0,3.0,0.0,3.0,0.5,6,4.0,0.0,5.0,Low
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,24907,Y,No,23,4,3,5130.0,1.0,3.0,1.0,3.0,3.0,10,7.0,1.0,7.0,Low
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2396,Y,Yes,15,2,3,2090.0,6.0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,Low
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,23159,Y,Yes,11,3,3,2909.0,1.0,3.0,0.0,3.0,3.0,8,7.0,3.0,0.0,Low
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,16632,Y,No,12,4,3,3468.0,8.5,3.0,1.0,3.0,3.0,2,2.0,2.0,2.0,Low
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,11864,Y,No,13,3,2,3068.0,0.0,3.0,0.0,3.0,2.0,7,7.0,3.0,6.0,Low
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,9964,Y,Yes,20,1,2,2670.0,4.0,3.0,2.5,3.0,3.0,1,0.0,0.0,0.0,Low
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335,Y,No,22,2,3,2693.0,1.0,3.0,1.0,3.0,2.0,1,0.0,0.0,0.0,Low
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,8787,Y,No,21,2,3,9526.0,0.0,3.0,0.0,3.0,2.0,9,7.0,1.0,8.0,High
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,16577,Y,No,13,2,2,5237.0,6.0,3.0,2.0,3.0,3.0,7,7.0,7.0,7.0,Low
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,16479,Y,No,13,3,3,2426.0,0.0,3.0,1.0,3.0,4.5,5,4.0,0.0,3.0,Low
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,12682,Y,Yes,12,4,3,4193.0,0.0,3.0,0.0,3.0,3.0,9,5.0,0.0,8.0,Low
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,15170,Y,No,17,4,2,2911.0,1.0,3.0,1.0,3.0,1.0,5,2.0,4.0,3.0,Low
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,Y,No,11,3,3,2661.0,0.0,3.0,1.0,3.0,2.0,2,2.0,1.0,2.0,Low
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,12947,Y,Yes,14,2,3,2028.0,5.0,3.0,0.0,3.0,4.0,4,2.0,0.0,3.0,Low
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,Y,No,11,3,3,9980.0,1.0,3.0,1.0,3.0,1.0,10,9.0,7.5,8.0,High
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,15053,Y,Yes,12,4,2,3298.0,0.0,3.0,2.0,3.0,4.5,6,2.0,0.0,5.0,Low
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,Y,Yes,13,2,2,2935.0,1.0,3.0,2.0,3.0,2.0,1,0.0,0.0,0.0,Low
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,22021,Y,No,16,3,3,15427.0,2.0,3.0,0.0,3.0,3.0,18,8.0,3.0,7.0,High
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,4306,Y,Yes,11,3,3,3944.0,5.0,3.0,0.0,3.0,3.0,3,2.0,1.0,2.0,Low
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,Y,No,18,4,2,4011.0,0.0,3.0,1.0,3.0,4.5,4,2.0,1.0,3.0,Low
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,6986,Y,No,23,2,3,3407.0,7.0,3.0,0.0,3.0,4.0,5,3.0,0.0,3.0,Low
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,21293,Y,No,11,3,3,11994.0,0.0,3.0,0.0,3.0,4.0,12,6.0,2.0,11.0,High
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,19281,Y,No,14,4,3,1232.0,1.0,3.0,0.0,3.0,4.5,0,0.0,0.0,0.0,Low
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,17102,Y,No,11,3,3,2960.0,2.0,3.0,0.0,3.0,2.0,4,2.0,1.0,3.0,Low
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,10735,Y,No,11,4,2,16581.0,4.0,3.0,1.0,3.0,3.0,14,13.0,4.0,8.0,High
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,4681,Y,Yes,22,2,3,3919.0,1.0,3.0,0.0,3.0,4.5,10,2.0,6.0,7.0,Low
